id_compra,id_jugador,id_juego,monto,fecha
7880,2333,5,59.99,2/6/2025
3870,4171,19,59.98,2/21/2025
4590,4975,298,59.98,1/16/2025
7316,4581,94,59.97,1/13/2025
3586,1425,343,59.95,4/26/2025
3644,3402,349,59.95,12/31/2024
3613,3672,293,59.94,6/17/2025
7524,4764,1,59.94,5/23/2025
7958,3404,251,59.94,6/20/2025
7089,3050,268,59.93,6/3/2025
2127,577,172,59.92,4/18/2025
4841,1197,269,59.91,4/7/2025
5148,,88,59.91,4/17/2025
6636,1393,108,59.91,4/30/2025
673,3220,133,59.9,1/19/2025
696,1398,303,59.9,1/20/2025
7483,2471,158,59.9,1/20/2025
3757,4793,3,59.89,6/15/2025
4353,4206,46,59.88,12/31/2024
7726,4778,132,59.88,2/15/2025
655,978,194,59.87,1/5/2025
677,,175,59.86,3/13/2025
6311,444,190,59.86,5/11/2025
3512,3998,37,59.85,6/6/2025
4779,1366,285,59.84,2/3/2025
5332,4344,104,59.82,6/15/2025
5100,398,136,59.81,5/12/2025
3340,3799,250,59.8,4/18/2025
3533,856,200,59.79,3/23/2025
3584,3917,249,59.79,4/15/2025
3502,244,329,59.78,3/16/2025
4662,3063,334,59.77,5/17/2025
5839,4166,301,59.76,4/23/2025
952,4273,246,59.75,6/13/2025
1818,4572,277,59.72,5/23/2025
4210,1440,55,59.71,4/30/2025
7672,1606,91,59.69,6/2/2025
6669,4013,83,59.68,1/22/2025
522,944,37,59.67,2/27/2025
1821,4686,297,59.66,5/7/2025
3498,4274,21,59.66,6/5/2025
1362,1787,252,59.65,3/30/2025
3246,1190,335,59.65,5/17/2025
250,4493,75,59.64,4/20/2025
7761,1415,310,59.64,2/15/2025
3670,1324,273,59.62,5/6/2025
4928,2798,222,59.62,4/5/2025
2502,4885,200,59.61,4/27/2025
7918,3339,275,59.6,4/7/2025
7376,,141,59.58,4/12/2025
438,4418,26,59.57,1/29/2025
7835,4361,53,59.57,4/4/2025
1716,1096,132,59.56,4/23/2025
4038,3338,320,59.56,5/20/2025
6395,1047,228,59.56,1/20/2025
6469,2381,86,59.56,2/15/2025
1114,4045,81,59.55,2/28/2025
7847,2154,162,59.55,4/18/2025
2756,535,47,59.52,6/4/2025
6399,546,345,59.52,6/5/2025
4767,4731,89,59.5,1/5/2025
6907,1301,77,59.5,3/9/2025
935,1183,240,59.49,5/25/2025
51,2916,8,59.46,6/11/2025
823,1604,149,59.46,3/23/2025
2060,3230,272,59.46,6/17/2025
7182,2545,18,59.46,4/10/2025
228,,239,59.43,3/30/2025
5084,590,149,59.43,5/29/2025
6800,1187,55,59.43,2/6/2025
4510,2220,172,59.42,5/22/2025
5159,2582,47,59.42,1/24/2025
6555,2991,101,59.42,5/6/2025
59,1978,126,59.37,4/20/2025
2161,935,177,59.37,1/5/2025
4520,2451,259,59.37,6/4/2025
24,34,160,59.35,6/17/2025
10,2380,243,59.34,5/19/2025
3166,,48,59.34,4/17/2025
206,3999,47,59.33,6/5/2025
3961,702,39,59.33,2/2/2025
7096,3955,119,59.32,5/21/2025
635,1706,106,59.3,5/10/2025
5306,1194,140,59.3,4/3/2025
1547,429,221,59.26,12/30/2024
1703,2331,77,59.26,5/10/2025
3904,1620,290,59.26,5/31/2025
4518,2649,276,59.26,1/14/2025
4522,1751,205,59.26,3/26/2025
6985,,195,59.25,2/11/2025
2434,2257,310,59.24,5/17/2025
5764,2218,91,59.23,1/4/2025
5503,586,117,59.22,5/26/2025
7070,795,295,59.22,5/31/2025
3004,1932,251,59.21,5/31/2025
3293,4744,236,59.16,4/26/2025
2606,1981,7,59.14,1/18/2025
3558,2278,331,59.13,3/13/2025
5299,2702,169,59.13,4/30/2025
4587,2412,127,59.12,1/13/2025
3657,1701,306,59.1,6/10/2025
4657,4391,256,59.1,2/23/2025
973,4717,59,59.09,1/11/2025
2532,4775,108,59.09,3/13/2025
4157,1008,133,59.09,4/3/2025
7091,469,76,59.09,5/27/2025
5771,995,117,59.08,2/9/2025
371,877,289,59.07,2/5/2025
1226,3076,266,59.07,5/23/2025
3385,,226,59.07,5/4/2025
1669,450,229,59.06,6/16/2025
3562,2567,257,59.05,1/13/2025
3800,4575,14,59.05,4/3/2025
5396,463,114,59.05,1/30/2025
2102,4384,346,59,1/21/2025
1652,653,13,58.99,6/20/2025
5256,2664,244,58.99,5/24/2025
480,2821,15,58.98,5/24/2025
3847,4958,122,58.97,6/9/2025
4170,,347,58.97,2/7/2025
5114,2618,345,58.97,5/19/2025
2539,996,248,58.96,3/9/2025
2129,4525,10,58.95,5/14/2025
3196,3198,25,58.93,6/7/2025
5637,2524,86,58.92,5/4/2025
5459,2333,54,58.91,5/10/2025
5825,3783,227,58.91,5/24/2025
207,2059,23,58.89,4/18/2025
2384,886,281,58.89,4/19/2025
3791,1417,39,58.89,5/9/2025
5207,1625,269,58.89,5/28/2025
6185,4842,325,58.89,1/21/2025
4756,4016,214,58.88,1/19/2025
4992,898,5,58.87,3/17/2025
3946,1397,346,58.84,5/7/2025
6794,4778,338,58.84,4/18/2025
4906,3250,61,58.83,4/25/2025
7342,4756,219,58.83,4/23/2025
3211,4731,260,58.8,2/22/2025
7844,,182,58.8,4/29/2025
3992,4716,195,58.79,4/18/2025
41,3977,258,58.78,5/28/2025
815,1829,83,58.77,3/12/2025
5951,1257,89,58.75,1/25/2025
81,789,109,58.74,2/4/2025
654,458,206,58.74,1/15/2025
7445,3289,120,58.74,4/19/2025
4799,3500,108,58.72,2/16/2025
3235,996,255,58.71,3/17/2025
7443,752,284,58.69,4/16/2025
6239,3647,306,58.68,3/9/2025
7295,1501,300,58.66,2/17/2025
714,,167,58.65,1/8/2025
6359,3796,220,58.64,2/12/2025
3180,2751,338,58.63,3/9/2025
4098,4520,191,58.62,4/1/2025
6301,3768,76,58.62,3/2/2025
6558,1950,86,58.62,2/5/2025
340,4795,157,58.61,4/12/2025
2376,3302,168,58.61,6/18/2025
6081,1467,74,58.61,4/5/2025
6314,2677,226,58.61,1/5/2025
1767,3831,21,58.59,1/4/2025
6712,551,134,58.59,5/6/2025
6810,1595,245,58.59,4/11/2025
781,273,30,58.56,5/19/2025
4916,354,207,58.55,1/19/2025
5269,1615,192,58.55,4/21/2025
676,1176,97,58.54,12/30/2024
1042,2192,128,58.54,2/15/2025
4870,2752,227,58.54,2/20/2025
7294,1390,163,58.53,12/24/2024
3367,3467,240,58.51,2/21/2025
3124,2665,167,58.49,5/21/2025
4024,2890,48,58.49,3/25/2025
7508,4950,205,58.48,4/16/2025
4178,63,183,58.46,5/17/2025
6767,606,76,58.46,4/11/2025
4584,3720,323,58.45,6/14/2025
3587,1947,174,58.43,4/19/2025
7725,2160,313,58.39,5/13/2025
7299,1741,76,58.38,5/31/2025
3445,1598,227,58.36,1/30/2025
6453,4318,168,58.36,5/8/2025
7583,1228,150,58.36,1/11/2025
3788,4887,176,58.35,5/17/2025
6476,3704,331,58.35,4/21/2025
5110,3826,254,58.34,6/1/2025
1330,345,93,58.33,1/3/2025
2419,1187,180,58.31,1/7/2025
857,1891,258,58.29,4/20/2025
4535,3465,341,58.29,6/10/2025
7427,3809,138,58.28,1/29/2025
446,1848,306,58.27,12/30/2024
6525,4123,216,58.27,6/6/2025
2481,4467,163,58.26,6/2/2025
905,517,87,58.24,2/17/2025
1273,1174,262,58.24,4/2/2025
2356,2183,155,58.23,3/22/2025
3573,,304,58.23,2/11/2025
3279,3888,181,58.21,6/16/2025
7945,2792,193,58.21,6/11/2025
7313,,313,58.2,5/6/2025
6353,1963,5,58.18,2/5/2025
6649,587,283,58.18,5/8/2025
6801,4537,250,58.17,3/30/2025
5805,1679,122,58.16,6/2/2025
4146,3860,2,58.15,2/3/2025
2820,947,154,58.14,1/9/2025
4988,3167,38,58.13,4/27/2025
3112,4696,334,58.12,4/12/2025
7020,46,158,58.12,3/27/2025
282,2897,344,58.11,1/14/2025
3046,3917,250,58.1,6/18/2025
3282,3875,80,58.1,4/16/2025
5502,607,332,58.1,5/17/2025
