id_sesion,id_jugador,id_juego,fecha_inicio,fecha_fin,duracion
1,4234,221,2025-04-18 09:46:00,2025-04-18 09:59:00,0 days 00:13:00
2,1769,206,2025-04-05 02:20:00,2025-04-05 02:38:00,0 days 00:18:00
4,3078,160,2025-06-17 15:11:00,2025-06-17 16:01:00,0 days 00:50:00
5,3606,264,2025-05-08 21:19:00,2025-05-08 23:09:00,0 days 01:50:00
6,496,309,2025-05-07 17:01:00,2025-05-07 19:25:00,0 days 02:24:00
7,3230,123,2025-04-10 09:03:00,2025-04-10 09:30:00,0 days 00:27:00
8,3572,22,2025-05-25 03:54:00,2025-05-25 06:49:00,0 days 02:55:00
9,3161,196,2025-04-06 07:23:00,2025-04-06 08:52:00,0 days 01:29:00
10,3642,102,2025-05-11 05:05:00,2025-05-11 05:46:00,0 days 00:41:00
11,1358,87,2025-04-16 18:36:00,2025-04-16 18:55:00,0 days 00:19:00
12,2688,143,2025-06-02 06:46:00,2025-06-02 06:47:00,0 days 00:01:00
13,183,268,2025-05-17 23:22:00,2025-05-18 00:04:00,0 days 00:42:00
14,4591,56,2025-06-10 06:03:00,2025-06-10 08:10:00,0 days 02:07:00
15,4203,331,2025-05-23 04:51:00,2025-05-23 05:31:00,0 days 00:40:00
16,704,171,2025-04-10 08:01:00,2025-04-10 10:04:00,0 days 02:03:00
17,3944,147,2025-04-23 21:48:00,2025-04-23 23:44:00,0 days 01:56:00
18,1043,18,2025-05-10 00:52:00,2025-05-10 03:49:00,0 days 02:57:00
19,3799,181,2025-06-14 11:27:00,2025-06-14 12:08:00,0 days 00:41:00
20,1479,309,2025-04-13 08:18:00,2025-04-13 09:22:00,0 days 01:04:00
21,4309,40,2025-05-11 14:59:00,2025-05-11 17:43:00,0 days 02:44:00
22,1167,193,2025-06-09 07:18:00,2025-06-09 08:57:00,0 days 01:39:00
23,3928,50,2025-04-11 17:38:00,2025-04-11 20:16:00,0 days 02:38:00
24,1764,236,2025-03-24 14:14:00,2025-03-24 16:19:00,0 days 02:05:00
25,4038,186,2025-05-18 20:48:00,2025-05-18 22:39:00,0 days 01:51:00
26,4059,70,2025-04-10 14:01:00,2025-04-10 15:23:00,0 days 01:22:00
27,1388,258,2025-06-16 07:03:00,2025-06-16 08:34:00,0 days 01:31:00
28,3931,76,2025-05-22 07:06:00,2025-05-22 07:06:00,0 days 00:00:00
