id_juego,nombre,categoria,fecha_lanzamiento,puntaje_global
1,Assassin's Creed IV: Black Flag 1,Acción/Aventur,2013,8.191430057
2,Far Cry 3 1,Acción/Aventur,2012,83.06810828
3,For Honor 1,Lucha,2017,19.51425385
4,Rayman Origins 1,Plataformas,2011,73.51102354
5,Watch Dogs 1,Acción/Aventur,2014,60.06002129
6,The Division 2 1,Rol/Disparos,2019,15.93879398
7,Immortals Fenyx Rising 1,Acción/Aventur,2020,94.07918241
8,South Park: The Stick of Truth 1,Rol,2014,54.57768714
9,Ghost Recon Wildlands 1,Disparos táctico,2017,77.07341717
10,Prince of Persia: The Sands of Time 1,Acción/Aventur,2003,12.33001601
11,Beyond Good & Evil 2 para PlayStation 4 1,Acción/Aventur,En desarrollo,54.62600447
12,Prince of Persia: Las Arenas del Tiempo Remake 1,Acción/Aventur,Pendiente,81.37729216
13,Assassin's Creed Codename HEXE 1,Acción/Aventur,No publicado,
14,Assassin's Creed Infinity 1,Plataforma de servicios,En desarrollo,44.17357092
15,Tom Clancy's Rainbow Six Mobile 1,Disparos táctico,2023,81.17620072
16,The Division Resurgence 1,Rol/Disparos,2023,70.74788212
17,Assassin's Creed Jade 1,Rol/Acció,En desarrollo,3.309536349
18,Splinter Cell Remake 1,Sigilo/Acció,En desarrollo,2.492844863
19,Anno 117: Pax Romana 1,Estrategia,Pendiente,18.26632127
20,Heroes of Might & Magic: Olden Era para Ordenador 1,Estrategia/Rol,2021,75.21935995
21,Morbid Metal para Ordenador 1,Acció,2021,12.22847952
22,Champions Tactics Reforged para Ordenador 1,Estrategia,2023,51.86090994
23,Assassin's Creed Shadows para PlayStation 5 1,Acción/Aventur,En desarrollo,69.36052297
24,BattleCore Arena para Ordenador 1,Disparos,2023,71.8787631
25,BUMP! Superbrawl para Ordenador 1,Lucha/Plataformas,2023,77.90935657
26,Rocksmith 2014 Edition REMASTERED LEARN & PLAY para Ordenador 1,Musical/Simulació,2019,70.74259726
27,Captain Laserhawk: the G.A.M.E. para Ordenador 1,Acción/Plataforma,2023,9.657123225
28,Champions Tactics: Grimoria Chronicles para Ordenador 1,Estrategia,2021,13.87377549
29,Just Dance 2025 para PlayStation 5 1,Musical/Ritmo,2025,45.52812297
30,MONOPOLY para Nintendo Switch 1,Tablero/Estrategia,2020,92.12810865
31,Star Wars Outlaws para PlayStation 5 1,Acción/Aventur,Pendiente,97.67761891
32,OddBallers para Ordenador 1,Deportes/Fiesta,2023,36.92522601
33,Beyond Good & Evil 20th Anniversary Edition para PlayStation 5 1,Acción/Aventur,2021,6.277144061
34,Rocksmith 2014 Edition para PlayStation 4 1,Musical/Simulació,2014,91.9967594
35,Rabbids: Legends of the Multiverse para iPhone 1,Estrategia/Cartas,2023,2.526958113
36,The Rogue Prince of Persia para Ordenador 1,Plataformas/Roguelite,No disponible,5.853835643
37,XDefiant para PlayStation 5 1,Disparos,2023,25.63414389
38,Anno 1503 History Edition para Ordenador 1,Estrategia,2023,33.11690825
39,Anno 1602 History Edition para Ordenador 1,Estrategia,2023,40.42498486
40,Anno 1701 History Edition para Ordenador 1,Estrategia,2023,9.480959468
41,The Settlers : New Allies para Ordenador 1,Estrategia,2013,9.10370424
42,Growtopia para Ordenador 1,Sandbox/Multijugador,2023,77.64148903
43,Rainbow Six SMOL para Android 1,Disparos/Estrategia,Pendiente,76.00190318
44,Skull and Bones para Ordenador 1,Acción/Aventur,2024,5.403738018
45,Prince of Persia: The Lost Crown para PlayStation 5 1,Plataformas/Metroidvania,2024,15.29098514
46,Avatar: Frontiers of Pandora para Ordenador 1,Acción/Aventur,2023,99.84850938
47,Assassin's Creed Nexus VR para Ordenador 1,Acción/Aventur,2023,53.92971801
48,Assassin's Creed Mirage para PlayStation 5 1,Acción/Aventur,2023,44.31916411
49,The Crew Motorfest para PlayStation 5 1,Carreras,2023,19.0965486
50,The Settlers: New Allies para Ordenador 1,Estrategia,2020,66.19581673
51,TrackMania para Ordenador 1,Carreras,2023,24.31075113
52,Valiant Hearts: Coming Home para Android 1,Aventura,2022,28.90475677
53,Just Dance 2023 para PlayStation 5 1,Musical/Ritmo,2022,98.58911659
54,Rocksmith+ para PlayStation 4 1,Musical/Simulació,2022,80.37346016
55,Discovery Tour: Viking Age para Xbox Series X 1,Educativo,2022,15.49710191
56,TRIVIAL PURSUIT Live! 2 para PlayStation 4 1,Preguntas y respuestas,"2013 (original), re-lanzado 2021",21.76357645
57,Far Cry 3 Blood Dragon Classic Edition para PlayStation 4 1,Acción/Aventur,2021,53.92276271
58,Just Dance 2022 para PlayStation 4 1,Musical/Ritmo,2021,57.08627575
59,Far Cry 6 para Xbox Series X 1,Acción/Aventur,2020,26.303544
60,Immortals Fenyx Rising para Xbox Series X 1,Acción/Aventur,2020,73.44652105
61,Assassin's Creed Valhalla para PlayStation 4 1,Rol/Acció,2020,40.39033955
62,Agos: A Game of Space para Ordenador 1,Simulació,2019,13.03077989
63,Tom Clancy's Elite Squad para Android 1,Estrategia,2020,14.54470073
64,Trackmania (2020) para Ordenador 1,Carreras,2020,45.72981339
65,Anno 1404 - History Edition para Ordenador 1,Estrategia,2019,43.32591942
66,UNO FLIP! para Xbox One 1,Cartas,2019,93.65939238
67,Just Dance 2020 para PlayStation 4 1,Musical/Ritmo,2019,55.71166534
68,Rayman Mini para iPhone 1,Plataformas,2019,12.36658322
69,Growtopia para Xbox One 1,Sandbox/Multijugador,2018,95.74460427
70,Anno 1800 para Ordenador 1,Estrategia,2020,82.19658437
71,Assassin's Creed III Remastered para PlayStation 4 1,Acción/Aventur,2020,71.0280313
72,Space Junkies para Ordenador 1,Disparos,2018,55.11417067
73,Tom Clancy's The Division 2 para PlayStation 4 1,Rol/Disparos,2014,97.46032968
74,Trials Rising para PlayStation 4 1,Carreras/Plataformas,2019,76.5157673
75,Far Cry: New Dawn para PlayStation 4 1,Acción/Aventur,2019,49.56373223
76,Assassin's Creed Rebellion para Android 1,Estrategia/Rol,2019,59.15903523
77,The Settlers History Collection para Ordenador 1,Estrategia,2019,85.63832579
78,Hasbro Game Night para Nintendo Switch 1,Juegos de mesa,2018,76.49738729
79,Just Dance 2019 para PlayStation 4 1,Musical/Ritmo,2018,57.36356725
