id_jugador,id_juego,puntuacion,fecha
62,296,5,10/31/2024
1336,296,,4/15/2025
2571,61,9,10/2/2024
2166,183,10,4/29/2025
2901,146,3,1/19/2025
1569,192,3,9/18/2024
2143,198,9,6/23/2024
1142,59,7,9/10/2024
67,295,1,5/4/2025
591,349,2,4/16/2025
3459,53,8,2/20/2025
3802,143,9,8/26/2024
2470,316,5,3/1/2025
173,277,4,3/6/2025
180,180,,6/12/2025
403,227,5,7/4/2024
1813,56,2,11/26/2024
4503,229,10,8/13/2024
774,109,10,6/25/2024
1962,74,1,2/8/2025
2421,148,10,6/20/2025
2567,139,7,5/14/2025
1057,225,10,8/4/2024
1556,15,8,3/4/2025
2074,328,2,1/26/2025
647,36,,7/20/2024
2474,163,4,1/17/2025
1673,266,,11/22/2024
4305,95,4,10/17/2024
446,276,9,1/15/2025
4450,46,10,2/2/2025
1535,1,3,12/15/2024
3026,262,2,5/27/2025
1807,298,7,10/22/2024
3368,176,5,3/9/2025
3479,144,1,6/30/2024
363,83,10,7/30/2024
1536,275,6,2/25/2025
1691,258,10,9/23/2024
1939,114,2,1/10/2025
3701,262,9,6/19/2025
1765,294,,9/4/2024
570,90,,5/11/2025
1547,193,8,4/12/2025
1043,321,8,7/1/2024
887,333,8,9/19/2024
4086,105,7,1/26/2025
2346,280,2,2/11/2025
3759,109,6,7/20/2024
4907,143,9,9/28/2024
1707,2,,8/13/2024
2805,254,6,7/4/2024
2639,175,,8/30/2024
133,136,,12/9/2024
4458,135,3,5/14/2025
1531,190,1,4/30/2025
1292,267,1,2/10/2025
1892,40,10,5/10/2025
215,104,9,4/13/2025
4692,22,10,3/19/2025
3147,312,1,10/11/2024
1661,293,6,1/14/2025
4114,20,7,10/7/2024
2833,344,4,7/14/2024
906,22,2,9/3/2024
1328,165,10,9/1/2024
4969,284,7,2/19/2025
3429,189,10,2/4/2025
1822,328,5,10/15/2024
3441,140,10,10/6/2024
1464,182,10,3/10/2025
282,101,5,2/16/2025
1222,60,3,1/9/2025
4230,70,3,6/12/2025
3027,218,5,4/4/2025
743,147,,10/29/2024
1054,229,6,1/3/2025
2752,228,8,11/20/2024
1621,58,9,11/21/2024
2495,312,1,8/22/2024
2458,149,2,8/21/2024
1761,171,5,11/22/2024
3639,218,,2/13/2025
2568,54,3,7/1/2024
1383,88,4,1/23/2025
4593,39,8,1/31/2025
1765,73,2,2/16/2025
1966,141,,1/31/2025
3529,140,2,3/16/2025
419,163,2,9/21/2024
4065,38,9,12/4/2024
3296,350,,3/12/2025
2347,40,6,10/9/2024
2433,219,10,4/23/2025
4978,216,5,8/16/2024
3327,340,2,4/11/2025
2772,314,6,1/28/2025
1955,109,7,1/13/2025
2417,31,9,7/25/2024
3716,148,2,12/13/2024
4971,243,2,7/4/2024
2735,41,1,11/26/2024
4272,186,1,7/29/2024
1534,334,4,5/10/2025
2577,278,6,10/16/2024
4312,29,4,6/29/2024
572,342,9,6/15/2025
2004,28,6,5/4/2025
1865,95,6,3/10/2025
1999,162,2,10/6/2024
1342,328,9,11/30/2024
2768,344,8,4/6/2025
2211,344,1,7/23/2024
2466,295,7,6/25/2024
3526,347,1,3/22/2025
2176,342,1,11/12/2024
2668,62,3,6/30/2024
641,174,9,12/14/2024
465,2,8,11/27/2024
4543,244,2,3/11/2025
3064,340,4,1/22/2025
4414,42,10,3/5/2025
777,5,3,1/21/2025
457,330,10,7/17/2024
4680,187,1,9/15/2024
2,23,7,1/27/2025
2368,344,5,6/27/2024
1400,266,4,2/8/2025
393,237,1,11/4/2024
3093,141,10,12/22/2024
3632,5,6,9/3/2024
3074,336,9,8/23/2024
4314,331,6,5/15/2025
3191,148,6,7/25/2024
2899,144,8,7/11/2024
1685,219,2,4/3/2025
4494,305,9,7/16/2024
76,250,7,5/29/2025
2765,71,6,4/8/2025
2236,13,10,9/5/2024
4489,167,2,9/2/2024
779,107,3,12/18/2024
3847,285,,9/25/2024
2713,137,1,2/27/2025
2798,127,9,3/9/2025
4831,193,6,8/15/2024
3763,54,4,8/6/2024
2890,157,9,10/23/2024
2828,320,6,9/3/2024
3046,37,2,11/24/2024
2605,253,8,12/21/2024
220,131,2,5/18/2025
4800,19,4,3/6/2025
3831,258,,1/4/2025
4993,166,,3/24/2025
4586,107,6,7/5/2024
2396,193,2,1/30/2025
1944,272,9,6/8/2025
1851,154,5,11/2/2024
2392,98,6,10/13/2024
4270,334,2,2/24/2025
3975,293,8,3/4/2025
2914,123,,10/25/2024
2311,266,4,2/13/2025
2473,145,5,2/10/2025
3004,42,6,1/13/2025
4146,105,2,4/23/2025
1267,259,1,6/6/2025
814,308,4,12/7/2024
4207,323,8,8/21/2024
2238,46,9,11/28/2024
437,235,6,4/4/2025
4826,342,2,10/8/2024
94,154,1,9/26/2024
604,289,5,5/7/2025
4933,139,10,10/8/2024
3069,272,2,5/1/2025
51,73,7,5/31/2025
3793,297,10,7/27/2024
2572,14,5,4/13/2025
3555,320,7,12/10/2024
2725,266,,5/4/2025
4595,218,6,10/25/2024
35,239,8,1/23/2025
708,4,3,3/23/2025
4677,199,9,12/15/2024
1237,267,4,9/20/2024
4301,295,10,5/7/2025
4789,212,1,4/26/2025
3844,173,9,10/7/2024
1914,154,8,2/27/2025
3000,201,6,2/27/2025
1793,217,1,6/12/2025
4170,283,9,9/13/2024
4481,271,1,4/16/2025
1731,236,,4/30/2025
1142,190,6,7/25/2024
2646,273,3,4/29/2025
3219,37,5,1/8/2025
885,24,7,5/20/2025
1059,276,3,6/6/2025
4462,77,4,8/24/2024
2659,118,4,12/27/2024
1947,20,1,12/10/2024
95,189,6,10/16/2024
1970,193,8,5/2/2025
1526,168,6,4/26/2025
831,172,4,12/12/2024
3785,297,10,2/20/2025
632,259,9,1/8/2025
1562,80,7,5/10/2025
4333,28,6,12/11/2024
2121,190,6,3/5/2025
1610,115,,6/8/2025
3892,250,,8/25/2024
4565,20,5,9/15/2024
661,196,2,11/14/2024
4565,158,1,12/2/2024
4880,22,1,6/8/2025
687,241,6,10/22/2024
4845,98,5,1/17/2025
4909,9,4,3/25/2025
3537,142,5,12/31/2024
2689,87,9,3/3/2025
3709,267,6,6/11/2025
2899,332,10,12/27/2024
2035,349,2,6/27/2024
1184,116,7,1/6/2025
3588,182,5,12/28/2024
385,115,3,12/19/2024
1209,347,3,8/23/2024
1002,113,3,6/8/2025
1373,165,6,1/23/2025
2086,111,,8/1/2024
2255,42,4,4/12/2025
3746,142,10,3/24/2025
97,67,7,8/30/2024
3318,192,5,1/15/2025
1462,327,1,12/1/2024
4972,309,,4/30/2025
2983,147,6,12/31/2024
4149,87,4,4/9/2025
1799,257,10,6/8/2025
3930,137,1,3/11/2025
4894,144,4,3/31/2025
4372,313,2,6/12/2025
1694,85,1,3/9/2025
3726,241,1,8/5/2024
718,168,3,5/2/2025
3601,179,3,9/9/2024
3539,200,1,9/27/2024
1741,93,,4/4/2025
4499,203,2,9/17/2024
436,137,6,10/23/2024
1350,50,8,8/24/2024
2077,287,9,9/29/2024
1097,193,1,10/19/2024
4306,163,5,11/9/2024
786,91,8,12/2/2024
1190,214,2,3/19/2025
2084,336,9,6/19/2025
3516,322,9,1/13/2025
3045,32,,2/9/2025
3619,251,1,1/18/2025
730,185,6,1/9/2025
3228,81,8,10/21/2024
3056,313,1,4/22/2025
3033,50,4,3/26/2025
1499,278,9,1/4/2025
2443,309,6,10/4/2024
2507,173,5,9/11/2024
3063,240,5,7/6/2024
78,53,4,1/15/2025
4686,316,6,1/23/2025
91,24,4,1/14/2025
88,27,4,7/23/2024
1675,39,7,1/12/2025
2499,160,7,10/3/2024
4306,127,2,5/7/2025
979,202,8,1/29/2025
1022,59,8,9/19/2024
3414,41,10,2/13/2025
3150,192,4,9/19/2024
2802,254,8,11/10/2024
4635,188,4,9/19/2024
3613,174,9,1/27/2025
3178,215,7,11/16/2024
1555,19,7,1/13/2025
3910,326,,8/9/2024
3731,306,,9/22/2024
3660,22,9,11/14/2024
2822,40,5,1/19/2025
1540,85,9,12/13/2024
4392,17,9,9/23/2024
1650,133,4,1/20/2025
3489,184,8,12/1/2024
2104,187,5,8/18/2024
3280,71,7,6/20/2025
1037,160,2,8/7/2024
3586,322,1,10/5/2024
3382,129,1,4/10/2025
2462,230,8,1/19/2025
3671,166,7,3/3/2025
152,285,10,11/10/2024
4687,7,9,4/10/2025
775,298,2,10/1/2024
4815,223,7,5/5/2025
4351,78,,3/24/2025
514,88,,4/7/2025
930,349,8,8/7/2024
3009,29,7,1/7/2025
3600,316,4,3/10/2025
270,264,3,4/27/2025
3149,208,5,8/12/2024
2022,146,5,12/20/2024
4726,292,2,10/10/2024
1907,189,1,5/9/2025
3506,67,7,1/12/2025
3681,174,2,11/7/2024
2322,211,7,2/2/2025
185,133,4,8/13/2024
571,267,4,10/4/2024
4088,33,6,11/23/2024
3738,319,9,9/13/2024
2043,314,7,9/17/2024
174,49,7,4/9/2025
4057,221,,8/5/2024
3172,50,8,9/17/2024
372,20,7,2/17/2025
1974,98,6,2/8/2025
178,238,4,2/18/2025
1120,216,8,2/25/2025
3432,71,1,2/6/2025
2761,337,3,7/29/2024
3599,126,1,1/21/2025
1454,182,4,10/25/2024
4369,72,4,4/5/2025
4509,2,9,5/28/2025
3143,199,3,3/23/2025
2672,283,3,10/1/2024
4642,233,1,11/17/2024
2491,248,1,1/31/2025
420,258,10,5/2/2025
80,173,10,11/19/2024
1499,151,8,2/6/2025
4962,79,2,5/10/2025
323,269,7,11/21/2024
3787,180,3,8/24/2024
4503,85,7,11/20/2024
3433,122,9,11/22/2024
949,108,5,4/5/2025
1424,5,7,1/5/2025
1974,58,3,10/6/2024
3789,5,1,10/10/2024
4643,229,7,3/26/2025
1613,312,2,7/11/2024
4526,241,1,10/14/2024
2030,195,6,11/12/2024
1918,89,3,9/12/2024
1556,234,4,5/13/2025
931,151,6,4/23/2025
35,221,3,1/17/2025
4171,175,4,9/3/2024
3345,232,4,5/18/2025
1011,216,7,5/27/2025
6,81,10,7/7/2024
3379,45,8,12/17/2024
3750,108,3,10/29/2024
446,231,10,10/19/2024
2086,13,3,6/8/2025
900,60,3,9/29/2024
246,93,3,1/16/2025
2117,56,1,5/3/2025
2957,218,,11/2/2024
1876,9,9,12/12/2024
4140,17,,10/15/2024
1368,214,4,4/22/2025
3202,278,10,2/24/2025
2327,150,8,2/27/2025
168,241,1,2/26/2025
3693,318,8,6/20/2025
4910,305,1,8/18/2024
1736,147,7,11/17/2024
4336,126,1,3/7/2025
2508,63,3,7/17/2024
4408,288,4,4/8/2025
1500,348,10,8/1/2024
2014,139,10,7/27/2024
37,128,6,10/21/2024
2978,230,7,12/21/2024
4051,26,5,7/6/2024
2888,348,,8/16/2024
2226,318,10,8/7/2024
4569,170,3,12/25/2024
2066,94,8,10/14/2024
2390,150,10,8/10/2024
4343,314,2,8/18/2024
866,251,8,10/12/2024
1312,19,5,11/30/2024
1031,44,4,12/10/2024
4545,295,3,9/25/2024
2006,139,7,1/11/2025
4463,151,,10/12/2024
3998,136,,10/29/2024
1952,290,4,12/21/2024
1787,183,5,10/22/2024
4363,14,8,3/10/2025
31,51,10,4/17/2025
4938,35,3,7/15/2024
738,272,,11/26/2024
3145,308,9,9/25/2024
2856,178,10,3/4/2025
3848,285,8,10/1/2024
1050,51,10,9/21/2024
4459,246,8,1/3/2025
3758,286,3,8/13/2024
1721,295,6,4/19/2025
1470,350,9,10/27/2024
4659,8,,5/24/2025
3173,64,10,2/16/2025
3502,65,10,1/12/2025
677,127,8,5/5/2025
4782,231,7,2/11/2025
4391,169,9,5/19/2025
1159,244,6,5/7/2025
1421,100,4,3/31/2025
3621,239,2,8/27/2024
143,219,7,4/1/2025
4145,238,2,11/3/2024
2459,172,1,9/16/2024
1167,93,3,7/12/2024
4,43,9,2/16/2025
4107,123,4,6/25/2024
2763,71,2,8/23/2024
2340,159,9,12/10/2024
4991,148,,1/29/2025
1947,302,8,2/26/2025
1144,258,10,5/5/2025
352,261,6,11/7/2024
818,150,1,12/29/2024
2547,151,,8/19/2024
719,9,9,10/6/2024
4357,338,8,5/15/2025
3925,209,6,1/29/2025
358,8,6,3/14/2025
1520,343,1,3/25/2025
4298,192,9,4/26/2025
4839,209,7,7/18/2024
4827,345,3,4/22/2025
4635,310,,6/10/2025
3281,189,3,10/26/2024
2844,241,5,8/15/2024
4153,207,8,4/16/2025
1208,49,2,7/19/2024
304,293,5,7/11/2024
1007,82,5,6/8/2025
1381,120,6,11/4/2024
4385,190,4,10/14/2024
1396,47,10,5/19/2025
3886,134,3,8/26/2024
3206,163,2,8/30/2024
865,97,6,8/26/2024
2751,130,1,3/7/2025
3478,4,7,4/28/2025
4247,304,8,9/10/2024
3798,234,6,3/17/2025
3280,338,6,3/24/2025
3952,148,7,10/16/2024
4714,44,3,3/30/2025
3549,319,7,10/19/2024
3811,323,2,5/25/2025
413,19,7,2/6/2025
4533,62,4,2/18/2025
520,204,1,9/14/2024
1356,105,10,12/22/2024
1675,100,6,8/21/2024
3384,325,4,7/11/2024
580,228,10,7/6/2024
2703,51,7,1/18/2025
3897,77,4,12/17/2024
1820,129,7,12/17/2024
35,343,3,7/18/2024
1055,237,7,7/21/2024
4748,206,2,7/23/2024
3031,6,6,6/14/2025
2150,233,5,7/5/2024
2305,288,7,9/29/2024
24,49,8,4/27/2025
2809,290,5,11/28/2024
1168,193,1,9/26/2024
4816,45,3,5/25/2025
2357,217,9,8/27/2024
4747,203,,5/29/2025
3843,226,2,12/28/2024
3674,284,3,6/17/2025
2816,203,1,6/5/2025
3512,10,,4/25/2025
3470,343,2,8/4/2024
2468,170,5,12/26/2024
2427,279,3,7/7/2024
3714,280,3,8/1/2024
1632,237,5,2/14/2025
4901,242,10,6/24/2024
2686,106,6,9/29/2024
1859,81,3,2/14/2025
4446,58,9,8/7/2024
4134,148,,7/2/2024
3340,35,4,7/31/2024
3328,246,3,1/9/2025
3595,145,7,5/25/2025
4292,30,7,9/6/2024
4910,18,5,2/5/2025
233,223,2,4/8/2025
2434,53,6,8/20/2024
3348,199,3,2/4/2025
4202,26,7,11/18/2024
1028,33,10,4/27/2025
19,43,9,4/22/2025
1602,178,6,11/13/2024
1316,222,10,2/15/2025
4779,102,10,2/5/2025
2118,4,,8/21/2024
1872,117,10,6/6/2025
1269,251,2,4/15/2025
900,20,2,1/25/2025
2203,155,4,12/9/2024
4461,343,2,5/26/2025
4738,198,3,8/6/2024
1599,251,3,9/10/2024
4278,350,1,2/11/2025
4685,7,,1/16/2025
4130,284,3,6/20/2025
4448,338,6,12/24/2024
2205,339,5,6/5/2025
840,233,8,2/13/2025
2156,304,5,2/5/2025
3075,279,3,8/30/2024
3669,153,,6/2/2025
1536,59,4,12/12/2024
3367,204,6,3/27/2025
10,312,7,8/18/2024
1456,110,2,8/12/2024
3124,213,2,1/17/2025
1144,140,10,5/16/2025
4067,278,3,7/1/2024
724,44,8,7/9/2024
164,80,7,1/17/2025
3952,269,10,8/5/2024
2883,340,6,5/21/2025
1998,215,7,4/28/2025
1416,67,1,5/22/2025
56,34,2,3/5/2025
437,237,2,9/6/2024
